Material,Category,Tensile_Strength,Density,Fire_Rating, Thermal_Conductivity, Cost_per_kg
Steel Beam - A36,Structural,400,7850,2 hours, 50, 0.80
Concrete - C30,Foundation,3,2400,2 hours, 1.7, 0.12
Aluminum 6061,Structural,270,2700,1 hour, 167, 2.50
Pine Wood,Structural,45,500,30 minutes, 0.13, 0.30
Carbon Fiber,Composite,1600,1750,1 hour, 10, 45.00
Brick - Red,Masonry,5,1900,4 hours, 0.7, 0.15
Glass - Tempered,Glazing,40,2500,0.5 hours, 1.05, 1.20
Copper Pipe,Plumbing,210,8960,1 hour, 385, 6.80
PVC Pipe,Plumbing,50,1380,0.5 hours, 0.19, 0.85
Gypsum Board,Interior,4,800,1 hour, 0.17, 0.25
Asphalt Shingle,Roofing,5,1100,0.5 hours, 0.75, 0.40
Marble Stone,Finishing,8,2700,0.5 hours, 2.8, 2.00
Fiberglass Insulation,Insulation,3,30,1 hour, 0.04, 1.50
Rubber Gasket,Sealing,15,1200,0.5 hours, 0.16, 3.00
Stainless Steel 304,Structural,505,8000,2 hours, 16, 3.20